name,lat,lon
les Escaldes,42.5073,1.5341
Andorra la Vella,42.5078,1.5211
Umm Al Quwain City,25.5647,55.5552
Ras Al Khaimah City,25.7895,55.9432
Zayed City,23.6542,53.7052
Khawr Fakkān,25.3313,56.342
Dubai,25.0772,55.3093
Dibba Al-Fujairah,25.5925,56.2618
Dibba Al-Hisn,25.6196,56.2729
Sharjah,25.3374,55.4121
Ar Ruways,24.1103,52.7306
Al Fujairah City,25.1164,56.3414
Al Ain City,24.1917,55.7606
Ajman City,25.4018,55.4788
Adh Dhayd,25.2881,55.8816
Abu Dhabi,24.4512,54.397
Khalifah A City,24.4259,54.605
Bani Yas City,24.3098,54.6294
Musaffah,24.3589,54.4827
Al Shamkhah City,24.3927,54.7078
Reef Al Fujairah City,25.1448,56.2476
Zaranj,30.9596,61.8604
Bāzār-e Yakāwlang,34.7352,66.9738
Taloqan,36.736,69.5345
Shīnḏanḏ,33.3029,62.1474
Shibirghān,36.6676,65.7529
Shahrak,34.1074,64.3052
Sar-e Pul,36.2154,65.9325
Sang-e Chārak,35.8497,66.4369
Aībak,36.2647,68.0155
Rustāq,37.126,69.8304
Qarqīn,37.4185,66.0436
Qarāwul,37.2196,68.7802
Pul-e Khumrī,35.9446,68.7151
Paghmān,34.5879,68.9509
Nahrīn,36.0649,69.1334
Maymana,35.9214,64.7836
Mehtar Lām,34.6714,70.2094
Mazār-e Sharīf,36.709,67.1109
Lashkar Gāh,31.5938,64.3716
Kushk,33.2956,61.9522
Kunduz,36.729,68.857
Khōst,33.3395,69.9204
Khulm,36.6974,67.6983
Khāsh,31.5292,62.7906
Khanabad,36.683,69.1128
Karukh,34.4811,62.5863
Kandahār,31.6133,65.7101
Kabul,34.5281,69.1723
Jalālābād,34.4265,70.4515
Jabal os Saraj,35.1183,69.2378
Herāt,34.3482,62.1997
Ghormach,35.7306,63.7826
Ghazni,33.5539,68.421
Gereshk,31.8209,64.57
Gardez,33.5974,69.2259
Fayzabad,37.1166,70.58
Farah,32.3745,62.1164
Eslam Qaleh,34.6667,61.0667
Charikar,35.0136,69.1714
Baraki Barak,33.9674,68.9492
Bāmyān,34.8216,67.8273
Balkh,36.7564,66.8972
Baghlān,36.1307,68.7083
Ārt Khwājah,37.0857,69.4796
Āsmār,35.0333,71.3581
Asadābād,34.8731,71.147
Andkhōy,36.9529,65.1238
Bāzārak,35.3129,69.5152
Markaz-e Woluswalī-ye Āchīn,34.1258,70.7078
Saint John’s,17.121,-61.8433
The Valley,18.217,-63.0578
Sarandë,39.8753,20.0048
Pogradec,40.9025,20.6525
Kukës,42.0769,20.4219
Korçë,40.6186,20.7808
Gjirokastër,40.0758,20.1389
Elbasan,41.1125,20.0822
Burrel,41.6103,20.0089
Vlorë,40.4686,19.4832
Tirana,41.3275,19.8189
Shkodër,42.0683,19.5126
Patos Fshat,40.6428,19.6508
Patos,40.6833,19.6194
Lushnjë,40.9419,19.705
Lezhë,41.7836,19.6436
Laç,41.6356,19.7131
Krujë,41.5092,19.7928
Kavajë,41.1856,19.5569
Fier-Çifçi,40.7167,19.5667
Fier,40.7239,19.5561
Durrës,41.3236,19.4547
Berat,40.7058,19.9522
Kapan,39.2076,46.4058
Goris,39.5111,46.3417
Hats’avan,39.464,45.9705
Artashat,39.9614,44.5445
Ararat,39.8307,44.7057
Yerevan,40.1811,44.5136
Vagharshapat,40.1656,44.2946
Stepanavan,41.01,44.3853
Spitak,40.8322,44.2673
Sevan,40.5473,44.9417
Masis,40.0657,44.4191
Vanadzor,40.8046,44.4939
Gavar,40.354,45.1239
Hrazdan,40.4975,44.7662
Armavir,40.1545,44.0382
Gyumri,40.7942,43.8453
Ch’arents’avan,40.4029,44.6445
Ashtarak,40.2991,44.362
Abovyan,40.2737,44.6335
Saurimo,-9.6608,20.3916
Lucapa,-8.4192,20.7447
Luau,-10.7073,22.2247
Uíge,-7.6087,15.0613
Soio,-6.1349,12.3689
N'zeto,-7.2312,12.8666
N’dalatando,-9.2978,14.9116
Mbanza Kongo,-6.2667,14.2383
Malanje,-9.5402,16.341
Luanda,-8.8368,13.2343
Caxito,-8.5785,13.6642
Cabinda,-5.5672,12.1979
Sumbe,-11.206,13.8437
Moçâmedes,-15.1961,12.1522
Menongue,-14.6585,17.691
Luena,-11.7833,19.9167
Lubango,-14.9172,13.4925
Longonjo,-12.908,15.2484
Lobito,-12.3644,13.536
Cuito,-12.3833,16.9333
Huambo,-12.7761,15.7392
Catumbela,-12.43,13.5468
Catabola,-12.15,17.2833
Camacupa,-12.0167,17.4833
Caála,-12.8525,15.5606
Benguela,-12.5763,13.4055
Zárate,-34.0981,-59.0286
Wanda,-25.9688,-54.5628
Villa Ortúzar,-34.5797,-58.4683
Villa Ocampo,-28.4875,-59.3552
Villa Lugano,-34.6791,-58.4726
Villaguay,-31.8653,-59.0269
Villa Gesell,-37.2639,-56.973
Villa de Mayo,-34.5108,-58.6806
Tortuguitas,-34.4751,-58.7537
Tigre,-34.426,-58.5796
Tandil,-37.3217,-59.1332
San Vicente,-26.6167,-54.1333
Santo Tomé,-28.5494,-56.0408
Santos Lugares,-34.6038,-58.5461
Santa Elena,-30.9443,-59.7883
San Pedro,-33.6792,-59.6663
San Pedro,-26.6221,-54.1084
San Luis del Palmar,-27.5079,-58.5545
San Lorenzo,-28.1331,-58.7673
San Javier,-30.5778,-59.9317
San Isidro,-34.4721,-58.5271
Saladas,-28.2538,-58.6259
Retiro,-34.5833,-58.3833
Resistencia,-27.4606,-58.9839
Reconquista,-29.15,-59.65
Quilmes,-34.729,-58.2637
Puerto Rico,-26.796,-55.024
Puerto Iguazú,-25.5991,-54.5736
Puerto Esperanza,-26.0227,-54.6136
Puerto Eldorado,-26.4084,-54.6946
Posadas,-27.3671,-55.8961
Pontevedra,-34.7478,-58.7007
Pirané,-25.7324,-59.1088
Pilar,-34.4587,-58.9142
Paso de los Libres,-29.7125,-57.0877
Oberá,-27.4871,-55.1199
Necochea,-38.5545,-58.7396
Muñiz,-34.5562,-58.7074
Morón,-34.6509,-58.6196
Monte Caseros,-30.2536,-57.6363
Montecarlo,-26.5662,-54.757
Merlo,-34.6663,-58.7293
Mercedes,-34.6514,-59.4307
Mercedes,-29.1842,-58.0752
Mar del Plata,-38.0004,-57.5562
Luján,-34.5703,-59.105
Los Polvorines,-34.5032,-58.706
La Plata,-34.9214,-57.9545
La Paz,-30.7418,-59.6452
Jardín América,-27.0435,-55.227
Hurlingham,-34.5904,-58.629
Gualeguaychú,-33.0094,-58.5172
Gualeguay,-33.1416,-59.3097
Goya,-29.14,-59.2634
Gobernador Virasora,-28.05,-56.0333
General Pacheco,-34.4526,-58.6431
General José de San Martín,-26.5374,-59.3416
Garupá,-27.4817,-55.8292
Formosa,-26.1849,-58.1731
Fontana,-27.4181,-59.0239
Federal,-30.9546,-58.7833
